"id","problem_id","problemtag_id"
5,3,1
6,4,1
7,5,1
8,6,2
72,55,1
73,56,1
74,57,1
75,58,5
78,60,6
94,72,5
95,73,7
96,74,5
97,61,5
98,59,5
102,78,5
103,79,5
107,82,5
118,91,5
121,94,5
124,64,3
125,65,3
126,71,1
127,70,3
128,68,3
129,69,1
158,89,1
159,88,1
160,87,1
161,86,1
162,85,1
163,84,1
164,83,1
168,90,1
173,77,5
174,93,5
175,63,3
215,96,8
216,96,9
217,81,5
218,81,9
221,67,3
222,67,9
223,66,1
224,66,9
225,62,1
226,62,9
276,101,3
278,99,3
279,98,3
280,98,2
281,97,3
282,97,2
283,100,10
286,104,12
292,102,11
293,105,12
294,103,3
299,110,1
305,112,4
307,113,3
310,114,9
311,114,5
314,115,1
320,106,13
321,107,13
322,108,13
323,109,14
324,116,14
349,125,14
354,120,14
355,119,14
357,117,14
360,122,14
361,123,14
364,121,14
365,118,14
366,124,14
395,142,1
396,143,1
398,145,1
399,146,1
400,147,1
402,149,1
405,144,1
406,148,1
424,159,14
425,160,14
426,161,14
427,162,14
428,163,14
430,165,14
433,158,14
434,164,14
435,166,1
436,167,1
437,168,1
438,169,1
439,170,1
441,172,1
442,173,1
443,171,1
460,182,1
461,183,1
462,184,1
469,187,15
470,187,16
471,187,17
478,181,21
479,181,19
480,181,22
490,178,25
491,178,19
492,178,15
493,177,17
494,177,16
496,175,19
498,174,19
501,157,26
502,157,19
503,157,22
512,155,26
513,155,19
514,155,21
515,154,22
516,154,19
517,154,25
519,153,26
520,153,22
521,152,21
522,152,22
523,152,26
524,151,26
525,151,22
526,150,26
527,150,22
562,95,22
563,92,21
564,92,22
573,54,32
574,54,35
575,54,22
583,53,36
584,53,10
585,53,27
586,52,10
587,52,27
588,51,19
589,51,21
590,51,22
591,31,38
592,31,28
593,31,39
596,50,38
597,50,40
598,29,21
599,29,15
600,28,15
601,28,41
602,49,10
603,49,28
604,27,26
605,26,22
606,48,10
607,48,28
608,47,19
609,47,22
610,47,21
611,25,26
612,25,22
613,24,42
614,24,35
615,46,21
616,46,29
617,46,10
618,45,21
619,45,16
620,44,20
621,44,28
622,44,16
623,43,29
624,43,21
625,43,33
626,42,31
627,42,16
628,42,35
629,41,36
630,41,16
631,40,15
632,40,19
633,40,22
637,38,17
638,38,16
639,38,19
640,38,26
641,23,26
642,23,15
643,22,21
644,22,26
645,21,21
649,20,43
650,20,32
651,20,21
652,20,22
653,19,27
654,18,21
655,17,45
656,17,21
657,17,15
658,16,21
659,16,23
660,186,18
661,186,19
662,186,15
665,15,16
666,15,15
667,14,46
668,14,38
669,14,25
670,14,15
674,11,47
675,11,29
676,10,26
677,10,15
678,9,21
679,9,48
680,8,46
681,8,38
682,7,26
683,7,44
684,2,48
685,2,27
686,2,49
687,2,38
690,37,35
691,37,27
692,36,21
693,36,23
694,35,27
695,34,26
696,34,29
697,34,19
698,34,31
699,34,44
702,32,19
703,32,22
704,32,21
705,32,44
706,32,31
707,30,21
708,30,31
709,30,20
830,227,50
831,227,21
848,228,50
849,229,50
850,230,50
851,231,50
852,232,50
853,233,52
859,237,50
860,237,44
882,239,34
883,240,19
884,240,22
885,240,15
886,241,21
887,242,19
888,242,21
889,242,22
890,243,19
891,243,22
892,244,19
893,244,21
894,244,22
895,245,19
896,245,21
897,245,22
944,254,55
945,255,55
946,256,55
947,257,55
968,258,16
969,258,17
970,258,26
971,259,17
972,259,10
973,259,28
974,260,18
975,260,19
976,260,15
977,261,55
1009,263,22
1010,264,21
1011,264,22
1012,265,22
1013,265,53
1014,266,21
1015,266,47
1016,267,22
1017,267,54
1020,269,22
1021,269,26
1024,268,19
1025,268,26
1026,262,22
1027,262,26
1028,262,34
1103,288,15
1104,288,32
1149,290,15
1150,290,25
1151,289,15
1185,137,16
1186,137,31
1187,137,26
1188,137,19
1189,136,26
1190,136,34
1216,215,44
1230,287,32
1231,286,32
1232,236,31
1233,236,21
1235,238,29
1236,238,57
1237,218,56
1238,217,21
1239,219,21
1240,219,22
1241,220,44
1242,220,21
1243,221,22
1244,222,21
1245,222,22
1246,223,56
1247,224,56
1248,225,56
1249,226,56
1304,301,58
1305,301,59
1306,302,58
1307,302,59
1308,303,15
1309,303,58
1310,303,59
1311,304,15
1312,304,58
1313,304,59
1314,305,26
1315,305,58
1316,305,59
1317,306,26
1318,306,58
1319,306,59
1320,307,26
1321,307,58
1322,308,26
1323,308,58
1324,308,59
1325,309,26
1326,309,58
1327,309,59
1328,310,15
1329,310,22
1330,310,58
1438,348,19
1439,348,21
1440,348,63
1441,347,62
1442,347,63
1443,346,21
1444,346,63
1445,345,22
1446,345,63
1447,343,22
1448,343,59
1449,343,63
1450,343,64
1451,344,25
1452,344,63
1471,349,59
1472,350,59
1473,351,59
1474,352,59
1475,353,48
1476,354,48
1477,355,48
1478,356,48
1480,358,61
1518,363,63
1519,363,67
1524,360,25
1525,360,58
1536,362,25
1537,362,26
1603,370,21
1604,370,34
1605,371,15
1606,371,22
1607,372,15
1608,373,15
1609,373,59
1610,374,48
1611,374,59
1618,376,15
1621,312,15
1622,312,68
1623,313,67
1624,314,59
1625,314,15
1626,314,68
1627,315,59
1628,315,48
1629,316,15
1630,316,68
1631,317,15
1632,317,68
1633,318,15
1634,318,59
1635,318,68
1636,133,29
1637,133,68
1640,206,68
1641,206,64
1649,208,68
1650,129,29
1651,129,68
1652,209,68
1653,128,64
1654,210,68
1655,210,65
1657,127,64
1658,127,69
1662,207,59
1663,207,67
1664,207,68
1665,211,68
1666,212,48
1667,212,29
1668,126,62
1669,126,68
1670,126,69
1672,214,68
1673,216,68
1674,216,29
1675,130,15
1676,130,68
1677,131,64
1678,131,68
1679,131,62
1680,132,15
1681,132,68
1682,132,64
1683,196,59
1684,197,59
1685,197,68
1686,198,59
1687,198,67
1691,199,59
1692,199,68
1693,199,29
1694,200,59
1695,200,68
1696,200,29
1697,201,59
1698,201,68
1699,202,59
1700,202,68
1701,202,67
1785,337,63
1786,338,63
1787,339,63
1788,340,63
1789,340,26
1790,341,63
1791,341,25
1792,342,63
1793,342,59
1809,194,69
1810,194,64
1811,195,64
1812,195,67
1813,203,64
1814,204,64
1815,205,64
1816,205,67
1817,188,67
1818,189,64
1819,190,68
1820,190,67
1821,191,68
1822,191,67
1823,192,68
1824,192,67
1825,193,68
1826,271,69
1827,271,68
1828,272,64
1829,272,69
1830,276,64
1831,276,69
1836,274,68
1837,274,62
1838,274,64
1839,278,29
1840,278,68
1841,278,64
1842,279,29
1843,279,68
1844,275,68
1845,275,15
1846,273,15
1847,273,68
1850,365,15
1851,365,25
1852,365,63
1853,365,68
1854,364,48
1855,364,59
1856,361,26
1857,361,65
1858,361,66
1859,366,48
1860,366,59
1861,375,48
1862,375,59
1865,369,19
1866,369,21
1867,369,22
1868,359,26
1869,359,58
1928,386,58
1929,386,59
1930,386,26
1931,385,26
1932,385,58
1933,385,59
1934,384,26
1935,384,58
1936,384,59
1937,383,58
1948,389,26
1949,389,58
1950,389,59
1951,390,58
1952,388,26
1953,388,58
1954,388,59
1955,387,26
1956,387,58
1957,387,59
1973,235,22
1986,395,26
1987,395,58
1988,395,59
1989,396,26
1990,396,58
1991,396,59
1992,397,58
1993,397,59
1994,397,68
1995,398,58
1996,398,59
1997,398,68
2003,402,18
2004,399,72
2005,399,73
2006,400,26
2007,400,59
2008,401,58
2021,185,16
2022,185,20
2023,180,21
2024,180,24
2025,179,18
2026,179,19
2027,179,15
2028,176,26
2029,156,10
2030,156,28
2031,156,17
2032,141,17
2033,141,16
2034,141,26
2043,111,15
2044,111,22
2045,111,25
2046,80,22
2047,80,25
2048,76,22
2049,76,25
2050,75,22
2051,75,25
2052,33,25
2053,33,26
2054,12,15
2055,12,45
2076,409,76
2077,410,77
2088,412,78
2089,412,79
2090,411,27
2091,411,48
2092,413,76
2094,414,77
2097,415,25
2098,415,80
2099,416,81
2102,417,26
2103,417,45
2113,418,26
2114,420,82
2123,419,22
2124,419,25
2125,421,26
2126,421,58
2129,423,83
2130,423,84
2131,422,83
2132,422,84
2133,424,14
2134,425,14
2135,426,14
2136,427,14
2137,428,14
2138,281,21
2139,281,22
2140,39,43
2141,39,32
2142,39,44
2144,430,54
2148,431,18
2150,429,18
2152,432,85
2158,434,87
2159,433,86
2160,435,26
2161,436,25
2162,437,18
2163,438,28
2164,439,85
2167,440,39
2168,440,88
2184,442,89
2185,441,89
2186,443,90
2187,444,25
2188,444,15
2189,445,26
2192,448,91
2194,446,48
2195,447,15
2196,449,28
2197,300,58
2198,300,15
2199,300,70
2200,300,68
2204,298,26
2205,298,15
2206,298,68
2207,297,15
2208,297,25
2209,297,26
2210,297,68
2211,296,15
2212,296,26
2213,296,58
2214,296,59
2215,296,68
2216,295,26
2217,295,58
2218,295,59
2219,295,15
2220,294,15
2221,294,58
2222,294,59
2223,294,68
2224,293,15
2225,293,58
2226,293,59
2227,293,68
2228,292,58
2229,292,59
2230,292,15
2231,292,68
2232,291,58
2233,291,59
2236,335,29
2237,335,48
2238,334,29
2239,334,48
2240,333,29
2241,333,48
2242,332,29
2243,332,48
2244,331,48
2245,330,48
2246,329,48
2247,328,48
2248,327,59
2249,394,58
2250,394,59
2251,394,68
2252,393,58
2253,393,59
2254,393,68
2255,392,26
2256,392,58
2257,392,59
2258,391,26
2259,391,58
2260,391,59
2289,450,32
2297,455,15
2304,456,63
2307,451,26
2308,453,15
2309,453,25
2310,452,58
2311,452,18
2312,457,45
2321,454,48
2322,454,60
2364,458,15
2365,458,22
2366,459,15
2367,459,92
2369,464,93
2370,461,63
2371,460,59
2372,463,48
2377,465,63
2378,465,93
2380,462,18
2382,357,48
2384,280,21
2385,277,19
2386,277,56
2387,140,32
2388,140,19
2389,140,22
2390,139,16
2391,139,19
2392,138,22
2393,138,32
2394,135,21
2395,135,34
2396,134,21
2397,134,22
2398,134,19
2401,325,15
2411,311,15
2412,311,68
2415,368,48
2416,368,59
2417,382,15
2418,382,25
2419,382,63
2420,382,68
2421,367,48
2422,367,59
2423,381,63
2424,381,67
2425,380,25
2426,380,26
2427,379,26
2428,379,65
2429,379,66
2430,378,25
2431,378,58
2432,377,26
2433,377,58
2436,406,18
2437,404,58
2438,403,26
2439,403,59
2440,405,72
2441,405,73
2442,466,15
2443,466,68
2446,468,64
2447,468,69
2455,472,56
2456,472,94
2458,471,56
2459,471,94
2460,213,68
2461,470,68
2462,470,62
2463,470,64
2464,469,15
2465,469,68
2469,473,22
2470,467,29
2471,467,68
2472,246,67
2473,247,59
2474,247,68
2475,248,59
2476,248,68
2477,249,29
2478,249,59
2479,250,68
2480,250,29
2481,250,67
2482,251,59
2483,251,68
2484,252,67
2485,252,68
2486,253,67
2487,253,68
2488,270,15
2489,270,25
2490,270,68
2491,282,15
2492,282,68
2493,283,15
2494,283,68
2495,284,15
2496,284,68
2497,285,15
2498,285,68
2510,476,15
2511,476,26
2512,476,64
2513,476,68
2541,477,64
2542,477,26
2543,477,68
2544,477,15
2545,478,26
2546,478,68
2547,478,15
2548,479,64
2549,479,26
2550,479,68
2551,479,15
2557,483,56
2558,483,94
2559,484,64
2560,484,69
2563,482,56
2564,482,94
2565,485,56
2566,485,94
2567,486,56
2568,486,94
2569,487,64
2570,487,69
2571,488,22
2572,489,68
2573,489,15
2574,490,64
2575,490,68
2576,490,62
2577,491,68
2578,491,15
2579,492,68
2580,492,29
2581,493,22
2582,494,68
2583,494,15
2584,495,64
2585,495,68
2586,495,62
2587,496,68
2588,496,15
2589,497,68
2590,497,29
2591,475,15
2592,475,26
2593,475,68
2594,474,15
2595,474,26
2596,474,64
2597,474,68
2604,503,15
2605,504,15
2609,13,19
2610,498,15
2611,498,22
2614,499,15
2615,500,60
2616,501,59
2619,505,15
2620,505,59
2621,502,59
2622,319,15
2623,319,22
2624,320,15
2625,321,60
2626,322,59
2627,323,59
2628,324,15
2629,326,15
2630,326,59
2631,506,22
2632,506,15
2633,507,15
2634,508,60
2635,509,59
2636,510,59
2637,511,15
2638,512,15
2639,513,59
2640,513,15
2641,299,15
2642,299,26
2643,299,68
2653,519,25
2654,519,63
2655,519,68
2656,514,26
2657,514,58
2658,515,25
2659,515,58
2660,516,26
2670,518,48
2671,518,59
2676,521,25
2677,521,26
2678,517,67
2681,520,48
2682,520,59
2683,522,26
2684,522,58
2685,523,25
2686,523,58
2690,525,67
2691,526,67
2692,527,48
2693,527,59
2694,528,48
2695,528,59
2696,529,25
2697,529,68
2698,529,63
2699,529,15
2700,530,26
2701,531,26
2702,532,25
2703,532,26
2704,533,25
2705,533,26
2706,534,48
2707,534,59
2708,535,26
2709,535,58
2710,536,26
2711,536,58
2712,537,25
2713,537,58
2714,538,25
2715,538,58
2716,539,26
2717,540,67
2718,541,48
2719,541,59
2720,542,25
2721,542,68
2722,542,63
2723,543,25
2724,543,68
2725,543,63
2726,544,25
2727,544,26
2728,545,48
2729,545,59
2730,546,48
2731,546,59
2747,549,15
2748,549,48
2753,553,93
2755,554,93
2758,551,63
2759,552,18
2764,555,22
2765,555,26
2766,547,26
2767,547,59
2768,548,58
2771,550,25
2772,550,26
2779,1,26
2780,1,45
2781,556,26
2782,556,59
2783,557,58
2784,558,48
2785,558,15
2786,559,25
2787,559,26
2788,560,63
2789,561,18
2790,562,26
2791,562,22
2792,563,26
2793,563,59
2794,564,58
2795,565,63
2796,566,18
2797,567,26
2798,567,22
2800,569,48
2801,569,15
2802,570,25
2803,570,26
2804,568,93
2805,408,75
2811,571,38
2812,571,96
2814,572,97
2815,573,38
2816,573,98
2818,574,99
2819,234,21
2820,234,50
2835,577,100
2837,579,25
2838,580,25
2840,578,25
2842,582,101
2844,583,101
2845,584,101
2849,586,18
2850,585,25
2851,581,10
2852,587,46
2853,588,102
2854,589,87
2866,590,46
2869,591,103
2870,592,90
2871,593,90
2872,594,67
2873,595,64
2882,596,67
2883,596,68
2884,599,68
2885,598,67
2886,598,68
2887,597,67
2888,597,68
2891,600,67
2892,601,104
2893,602,105
2894,602,67
2895,603,105
2896,603,104
2897,336,59
2898,336,71
2900,605,46
2903,604,66
2904,606,106
